,4s,6s,Balls,date,dis,grnd,inn,mins,pos,runs,sr
1,2,0,11,26 Dec 2004,caught,Dhaka,2,16,7,12,109.09
2,0,1,2,27 Dec 2004,not out,Dhaka,1,2,7,7*,350.00
3,0,0,7,2 Apr 2005,caught,Kochi,1,8,7,3,42.85
4,15,4,123,5 Apr 2005,caught,Visakhapatnam,1,155,3,148,120.32
5,5,0,24,9 Apr 2005,caught,Jamshedpur,2,36,3,28,116.66
6,4,1,64,12 Apr 2005,caught,Ahmedabad,1,90,3,47,73.43
7,1,0,16,15 Apr 2005,caught,Kanpur,1,20,3,11,68.75
8,2,0,38,17 Apr 2005,caught,Delhi,2,71,3,24,63.15
9,0,0,7,30 Jul 2005,bowled,Dambulla,1,17,2,2,28.57
10,1,1,11,31 Jul 2005,not out,Dambulla,2,22,6,15*,136.36
11,1,0,27,3 Aug 2005,caught,Dambulla,1,35,4,20,74.07
12,1,2,13,7 Aug 2005,not out,Colombo (RPS),1,17,7,28*,215.38
13,0,0,11,9 Aug 2005,lbw,Colombo (RPS),2,11,6,7,63.63
14,0,0,5,26 Aug 2005,caught,Bulawayo,2,13,7,2,40.00
15,2,4,46,29 Aug 2005,caught,Harare,1,-,6,56,121.73
16,3,2,27,2 Sep 2005,not out,Harare,2,-,6,37*,137.03
17,1,3,63,4 Sep 2005,not out,Harare,2,90,7,67*,106.34
18,1,0,16,6 Sep 2005,lbw,Harare,1,26,7,11,68.75
19,3,2,28,25 Oct 2005,caught,Nagpur,1,33,6,38,135.71
20,-,-,-,28 Oct 2005,-,Mohali,2,-,-,DNB,-
21,15,10,145,31 Oct 2005,not out,Jaipur,2,210,3,183*,126.20
22,1,2,43,3 Nov 2005,not out,Pune,2,65,6,45*,104.65
23,0,0,1,6 Nov 2005,lbw,Ahmedabad,1,1,3,0,0.00
24,-,-,-,9 Nov 2005,-,Rajkot,2,-,-,DNB,-
25,9,3,73,12 Nov 2005,caught,Vadodara,2,106,4,80,109.58
26,1,0,28,16 Nov 2005,run out,Hyderabad (Deccan),1,39,8,17,60.71
27,-,-,-,19 Nov 2005,-,Bangalore,2,-,-,DNB,-
28,0,0,26,25 Nov 2005,caught,Kolkata,1,41,8,14,53.84
29,1,0,26,28 Nov 2005,caught,Mumbai,2,37,6,12,46.15
30,11,1,53,6 Feb 2006,caught,Peshawar,1,68,4,68,128.30
